player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Kyle Allen,26152,QB,WAS,4,98,77.8,27,30,6.6,2.79,0,0,0,66.7,20,14,4.8,36,36.7,1,12,,,,,28.6,63.5,77.3,,62.3,,62.9,,0,0,42,28.6,100.1,11.1,4,2,0,3,1,1,2.4,226,7.5,0,32,57.4,68.5,66.7,70.2,84,50,57,6.3,2.82,2,3,5.1,70.2,40,17,4.8,62,63.3,2,21,,,,,82,71.3,78.9,,68,,72.5,,1,1,65,17.6,98.9,4.8,3,2,0,4,3,2,3.1,384,6.7,82.3,62,65,4.9,2.39,2,2,2.9,73.8,48,0,5.9,67,68.4,3,25,,,,,82.5,77,79.2,,73.8,,71.3,,0,1,70,,100,0,0,2,0,1,3,1,1.4,427,6.6,2,80,15,22,12.3,3.72,0,1,3.8,54.5,12,31,0,31,31.6,0,8,,,,,27.6,51.8,76.9,,50.4,,64.1,,1,0,37,22.6,97.3,22.6,7,2,0,6,1,2,5.4,183,8.3
Jeff Driskel,10841,QB,DEN,2,78,68.6,35,37,10.6,2.57,1,2,4.9,51.4,19,26,20.8,48,61.5,5,9,,,,,80.8,60.2,78.2,,57.8,,69.2,,0,1,53,34.6,70.9,18.8,9,2,0,1,1,0,0,251,6.8,0,10,84.1,55.1,51.3,74.9,72,25,27,11,2.72,1,0,0,59.3,16,11,11.1,30,38.5,2,10,,,,,77.7,44.7,76.4,,46.2,,58.3,,0,1,32,18.2,88.7,6.7,2,1,0,1,2,3,9.4,181,6.7,86.1,36,39,7.3,2.45,2,1,2.4,66.7,26,0,16.1,41,52.6,5,12,,,,,79.6,72.5,77.5,,73.1,,54.5,,0,1,44,,101.3,0,0,2,0,1,3,1,2.3,269,6.9,0,45.8,24,25,16,2.82,0,1,3.6,36,9,37,18.2,37,47.4,2,7,,,,,79.2,33.9,77.3,,31.8,,72.5,,0,1,41,29.7,42.6,29.7,11,1,0,1,0,2,4.9,163,6.5
Colt McCoy,5609,QB,NYG,4,75,65,20,20,8.2,2.41,0,0,0,60,12,12,7.7,23,30.7,1,8,,,,,76.1,63.2,75.3,,64.9,,55.7,,0,1,24,16.7,71.5,8.7,2,1,0,0,1,1,4.2,113,5.7,0,21,83.7,60.6,62.8,45.6,60.9,46,46,9.7,2.7,0,1,2.1,60.9,28,12,0,52,69.3,0,11,,,,,80.8,58.7,78.3,,60.7,,50.2,,0,0,54,25,76.5,5.8,3,3,0,0,0,1,1.9,262,5.7,62,50,50,9.8,2.38,0,1,1.9,60,30,0,3.2,51,68,1,15,,,,,80.8,69.6,78.2,,69.7,,56.8,,0,1,53,,76.1,0,0,1,0,0,1,1,1.9,308,6.2,0,62.5,16,16,7.6,3.1,0,0,0,62.5,10,24,0,24,32,0,4,,,,,76.1,42.8,75.5,,46.9,,49.1,,0,0,25,20.8,71.6,20.8,5,3,0,0,0,1,4,67,4.2
P.J. Walker,12134,QB,CAR,4,60,63.6,22,23,12.6,2.43,1,2,8.7,47.8,11,10,21.4,25,41.7,3,7,,,,,76.6,76.3,75.6,,72.3,,65.9,,0,1,26,20,50.5,8,2,0,0,0,0,0,0,147,6.4,0,5,82.2,56.8,57,62.6,71,31,33,8.8,2.56,1,2,6.1,63.6,21,8,4.5,35,58.3,1,10,,,,,78.3,43.3,76.8,,44.4,58.4,,,0,4,35,25,53.5,5.7,2,0,0,1,1,2,5.7,221,6.7,70.7,41,42,8.5,2.1,1,2,4.8,61.9,26,0,10.3,42,70,3,12,,,,,79.3,50.1,77.4,,50.8,58.4,,,0,3,42,,52.8,0,0,0,0,0,0,2,4.8,291,6.9,1,58.3,12,14,16.8,3.44,1,2,14.3,42.9,6,18,14.3,18,30,1,5,,,,,74.8,74,74.5,,69.3,,65.9,,0,2,19,22.2,44.9,22.2,4,0,0,1,1,0,0,77,5.5
Ben DiNucci,34311,QB,DAL,2,51,75,16,16,6.5,2.36,0,0,0,62.5,10,6,16.7,17,33.3,2,5,,,,,22,35.6,74.3,,36.8,57.7,,,0,0,17,16.7,77.6,5.9,1,0,0,0,0,2,11.8,90,5.6,0,9,16.9,25.6,25.5,52.5,58.3,24,27,9.8,2.97,1,1,3.6,48.1,13,16,7.1,34,66.7,1,6,,,,,20.2,25.4,76.8,,25.4,60,65.9,,0,0,35,37.5,62.1,17.6,6,1,1,1,0,4,11.4,129,4.8,71.4,28,29,6.8,1.91,0,1,3.3,65.5,19,0,5,29,56.9,1,10,,,,,77.4,41.8,76.1,,43.1,,,,0,0,30,,83.5,0,0,0,1,0,0,2,6.7,187,6.4,0,50,12,14,12.5,3.89,1,0,0,28.6,4,22,33.3,22,43.1,2,1,,,,,12.4,21.2,75.3,,20.9,55.3,65.9,,0,0,22,31.8,39.6,31.8,7,1,0,1,0,4,18.2,32,2.3
Jarrett Stidham,13725,QB,NE,5,50,50,14,18,8.5,2.91,0,0,0,33.3,6,10,14.3,22,44,1,5,,,,,76.1,29.5,75.3,,32,,56.3,,1,2,24,30,6.7,13.6,3,1,0,3,0,1,4.2,71,3.9,0,19,81.6,42.6,44.9,49.4,81,21,26,5.8,2.91,2,0,0,61.5,16,11,5.9,28,56,1,8,,,,,77.2,59.6,76,,62.2,,54.9,,0,1,29,9.1,92.6,3.6,1,1,0,3,2,1,3.4,185,7.1,79.2,24,27,5.5,2.49,1,0,0,63,17,0,10.5,29,58,2,11,,,,,77.4,50.5,76.1,,55.1,,46.4,,0,2,30,,79.6,0,0,2,0,2,2,1,3.3,202,7.5,0,45.5,11,17,9.9,3.5,1,0,0,29.4,5,21,0,21,42,0,2,,,,,75.9,36.6,75.2,,38.1,,,,1,1,23,19,15.8,19,4,0,0,4,0,1,4.3,54,3.2
Chase Daniel,5214,QB,DET,4,48,80,10,11,5.7,2.23,0,0,0,63.6,7,7,12.5,14,29.2,1,2,,,,,73.5,41.1,73.9,,42.4,58.9,,,0,0,15,42.9,99.1,21.4,3,0,0,1,1,1,6.7,36,3.3,0,11,80.4,54,51.2,70.7,83.3,30,32,6.8,2.35,1,2,6.3,68.8,22,7,12,34,70.8,3,13,,,,,78.3,62.2,76.7,,58.7,,70.7,,0,2,35,0,63,0,0,2,1,0,0,2,5.7,228,7.1,83.9,31,33,5.6,2,1,1,2.9,69.7,23,0,11.5,34,70.8,3,10,,,,,78.3,46.6,76.7,,47.9,,58.3,,0,1,35,,83.3,0,0,1,1,0,1,2,5.7,203,6.2,0,77.8,9,10,9.4,3.08,0,1,10,60,6,14,14.3,14,29.2,1,5,,,,,73.5,68.5,73.9,,61.5,58.9,74,,0,1,15,21.4,37.9,21.4,3,1,0,1,0,1,6.7,61,6.1
Mason Rudolph,46569,QB,PIT,3,45,58.3,12,12,9.4,2.47,0,0,0,58.3,7,7,0,13,28.9,0,4,,,,,73.9,48,73.9,,51.3,,55.7,,0,1,16,0,69.4,0,0,1,0,0,1,1,6.3,74,6.2,0,25,81.2,75.4,75.6,55.7,69,29,31,11.3,2.5,0,3,9.7,58.1,18,7,10,32,71.1,2,9,,,,,77.7,89.2,76.4,,86.7,,,,1,0,32,14.3,94.8,3.1,1,0,0,1,1,0,0,250,8.1,73.3,30,31,10.1,2.29,0,2,6.3,64.5,20,0,9.1,31,68.9,2,9,,,,,77.7,80.7,76.4,,78.8,,,,0,0,32,,97.6,0,0,0,0,1,1,0,0,231,7.5,0,45.5,11,12,12.5,2.94,0,1,7.1,41.7,5,14,0,14,31.1,0,4,,,,,73.9,59.7,73.9,,62.7,,55.7,,1,1,16,7.1,62.2,7.1,1,1,0,0,1,1,6.3,93,7.8
Ryan Finley,46426,QB,CIN,4,43,57.1,14,14,13,2.53,0,1,7.1,50,7,9,12.5,16,37.2,1,5,,,,,73.9,64.7,73.9,,64.1,,,,0,1,16,22.2,69,12.5,2,0,0,0,1,0,0,105,7.5,0,7,81.1,62,60.3,62.3,55.6,18,18,8.6,3.08,0,1,5.6,55.6,10,16,0,27,62.8,0,4,,,,,76.8,59.3,75.8,,56.8,,66,,0,1,27,43.8,38.9,25.9,7,2,0,0,0,0,0,59,3.3,55.6,18,18,12.4,2.37,0,1,5.6,55.6,10,0,0,18,41.9,0,4,,,,,74.5,63.7,74.3,,63.2,,,,0,1,18,,48.4,0,0,0,0,0,0,0,0,100,5.6,0,57.1,14,14,8,3.23,0,1,7.1,50,7,25,12.5,25,58.1,1,5,,,,,76.3,59.9,75.5,,57.3,,66,,0,1,25,36,56.8,36,9,2,0,0,1,0,0,64,4.6
John Wolford,46454,QB,LA,1,42,78.6,14,18,10.4,3.02,2,1,5,55.6,10,13,9.1,20,47.6,1,8,,,,,75.6,76.2,75,,71.6,,65.6,,2,0,22,7.7,70.1,5,1,1,0,0,0,0,0,94,5.2,0,26,80.5,70.8,64.1,78.8,68.4,19,20,9.7,2.77,0,3,15,60,12,8,7.7,22,52.4,1,6,,,,,75.6,58.4,75,,54.7,,65.9,,0,1,22,12.5,59.8,4.5,1,1,0,1,0,1,4.5,137,6.9,70,20,21,10.8,2.19,1,4,19,61.9,13,0,7.1,21,50,1,6,,,,,75.4,61.9,74.9,,61.6,,,,0,1,21,,64.2,0,0,0,0,0,0,1,4.8,153,7.3,0,76.9,13,17,8.8,3.6,1,0,0,52.9,9,21,10,21,50,1,8,,,,,75.9,72.7,75.2,,65.2,,77.9,,2,0,23,9.5,65.3,9.5,2,2,0,1,0,0,0,78,4.6
Garrett Gilbert,8848,QB,DAL,1,42,57.1,14,17,10.3,2.39,2,0,0,47.1,8,8,0,18,42.9,0,5,,,,,74.8,50.6,74.5,,47.3,,65.6,,0,1,19,0,34.2,0,0,1,0,1,0,1,5.3,71,4.2,0,9,79.7,66.4,62.5,73,77.8,18,21,11.5,2.83,1,2,9.5,61.9,13,10,7.1,24,57.1,1,7,,,,,76.1,80.3,75.3,,75.7,,65.9,,1,0,24,20,103.7,8.3,2,1,1,0,1,1,4.2,172,8.2,84.2,19,23,8.1,2.31,3,1,4.2,69.6,16,0,0,24,57.1,0,9,,,,,76.3,80.2,75.5,,75.8,,65.9,,0,0,25,,91.6,0,0,1,1,0,0,0,0,174,7.6,0,46.2,13,15,15.2,3.08,0,1,6.7,33.3,5,18,16.7,18,42.9,1,3,,,,,74.5,48.4,74.3,,44.9,,65.6,,1,1,18,11.1,43.5,11.1,2,1,0,1,1,2,11.1,69,4.6
Brett Rypien,46487,QB,DEN,2,41,89.5,19,20,8.2,2.17,0,4,16,85,17,8,0,20,48.8,0,8,,,,,76.6,75.5,0,,76.5,,,,0,1,26,0,99,0,0,0,0,1,1,1,3.8,175,8.8,0,10,81,40.5,41.5,61.3,68.8,16,20,11.1,2.83,1,0,0,50,10,10,9.1,21,51.2,1,4,,,,,75.6,21.7,75.2,,23,,,,0,3,23,10,45.8,4.8,1,0,0,3,1,4,17.4,120,6,86.4,22,23,10.1,2.3,1,3,12,78.3,18,0,5.3,23,56.1,1,9,,,,,76.3,53.2,75.5,,53.6,,,,0,2,25,,97.8,0,0,0,0,0,2,3,12,212,9.2,1,69.2,13,17,8.5,2.77,0,1,4.5,52.9,9,18,0,18,43.9,0,3,,,,,75.9,30,0,,34.7,,,,0,2,24,5.6,27,5.6,1,0,0,4,0,2,8.3,83,4.9
Chad Henne,4371,QB,KC,3,40,100,5,6,0.6,1.9,0,0,0,66.7,4,1,20,6,15,1,3,,,,,69.6,67.6,71.1,,66.9,,,,0,0,7,0,109.7,0,0,0,0,1,0,0,0,76,12.7,0,16,80.4,64.3,65.3,54.6,75,32,32,4.8,2.17,0,0,0,75,24,5,0,34,85,0,12,,,,,78.4,64.3,76.8,,63.7,,,,0,0,36,40,107.8,5.9,2,0,0,0,2,0,0,172,5.4,82.4,34,34,3.6,1.99,0,0,0,79.4,27,0,3.6,34,85,1,15,,,,,78.3,71.9,76.7,,70.8,,,,0,0,35,,116.8,0,0,0,0,0,2,0,0,249,7.3,0,33.3,3,4,11.3,2.92,0,0,0,25,1,6,0,6,15,0,0,,,,,70.3,45.8,71.5,,46.8,,,,0,0,8,33.3,39.6,33.3,2,0,0,1,0,0,0,-1,-0.3
Tyrod Taylor,6332,QB,LAC,2,34,57.1,7,8,9.1,2.11,0,0,0,50,4,3,0,10,29.4,0,2,,,,,72.4,48.3,72.9,,52.9,,51.7,,1,0,12,0,69.3,0,0,1,0,0,0,0,0,49,6.1,0,27,79.8,59.4,63.1,47.8,70,20,22,11.4,2.9,0,1,4.2,54.5,12,8,14.3,24,70.6,2,9,,,,,76.6,69.9,75.6,,67.5,,63.3,,0,0,26,12.5,77.7,4.2,1,1,0,2,0,0,0,159,7.2,70,20,21,8,2.38,0,0,0,57.1,12,0,14.3,23,67.6,2,6,,,,,76.3,57.8,75.5,,58.7,,58.3,,0,0,25,,69.5,0,0,1,0,1,0,0,0,100,4.8,0,57.1,7,9,18.9,3.26,0,1,10,44.4,4,11,0,11,32.4,0,5,,,,,72.8,68,73.2,,68.4,,59.3,,1,0,13,9.1,89.1,9.1,1,1,0,1,0,0,0,108,12
Marcus Mariota,9435,QB,LV,1,32,50,4,4,16,2.73,0,1,25,50,2,1,0,4,12.5,0,2,,,,,66.9,64.4,69.2,,63.9,,,,0,0,4,0,95.8,0,0,0,0,0,0,1,25,50,12.5,0,23,79.1,82.1,77.4,74.1,76.2,21,24,9.9,2.91,1,1,4,62.5,15,4,6.3,28,87.5,1,12,,,,,77.2,81.8,76,,78.2,,69.9,,0,1,29,0,81.3,0,0,4,1,1,1,1,3.4,176,7.3,68.2,22,24,11.2,2.67,1,2,8,58.3,14,0,6.7,27,84.4,1,11,,,,,77,74.5,75.9,,69.5,,73.4,,0,1,28,,78.3,0,0,3,1,0,1,2,7.1,179,7.5,0,100,3,4,8,4.08,0,0,0,75,3,5,0,5,15.6,0,3,,,,,68,86.7,69.9,,90,,58.3,,0,0,5,0,113.5,0,0,1,0,1,0,0,0,47,11.8
Brian Hoyer,5277,QB,NE,1,27,55.6,9,9,11.4,2.53,0,0,0,55.6,5,5,0,11,40.7,0,5,,,,,19.2,60.3,72.6,,56.8,,63.9,,0,0,11,20,72.9,9.1,1,1,0,0,0,1,9.1,53,5.9,0,19,25.2,58.8,56.3,63.9,78.6,14,15,5.9,2.5,0,1,6.7,66.7,10,2,9.1,16,59.3,1,4,,,,,73.9,57.2,73.9,,57.3,,,,0,1,16,50,51.3,6.3,1,0,0,1,0,2,12.5,77,5.1,68.4,19,20,7.7,2.32,0,1,5,60,12,0,7.7,20,74.1,1,5,,,,,75.1,68.1,74.7,,67.3,,,,0,1,20,,52.7,0,0,0,0,1,0,1,5,103,5.2,0,75,4,4,9.8,3.06,0,0,0,75,3,7,0,7,25.9,0,4,,,,,16.7,40.3,71.1,,35.2,,63.9,,0,0,7,28.6,92.7,28.6,2,1,0,0,0,2,28.6,27,6.8
Taylor Heinicke,9896,QB,WAS,1,23,83.3,6,6,12.8,2.32,0,1,16.7,83.3,5,2,0,6,26.1,0,3,,,,,68.9,94,70.6,,92.7,,,,0,0,6,0,109.7,0,0,0,0,0,0,0,0,62,10.3,0,32,76.1,82,78.3,69.4,61.5,13,13,14.2,3.42,0,1,7.1,53.8,7,4,12.5,17,73.9,1,5,,,,,74.5,65.5,74.3,,60.9,,69.4,,0,0,18,25,96.6,5.9,1,3,0,0,1,1,5.6,75,5.8,60,15,15,13.9,2.89,0,1,6.7,53.3,8,0,11.1,17,73.9,1,5,,,,,74.2,68.7,74.1,,67.9,,61.2,,0,0,17,,68.2,0,0,2,0,0,0,1,5.9,78,5.2,0,100,4,4,13.3,3.83,0,1,20,100,4,6,0,6,26.1,0,3,,,,,69.6,91.7,71.1,,87.4,,65.9,,0,0,7,16.7,158.3,16.7,1,1,0,0,1,0,0,59,14.8
Matt Barkley,7880,QB,BUF,4,22,44.4,9,10,17.7,2.33,1,1,10,40,4,4,0,11,50,0,4,,,,,71.9,64.3,72.6,,63.8,,,,0,1,11,25,32.5,9.1,1,0,0,0,0,0,0,88,8.8,0,4,77.5,60.6,59.1,61.6,90,10,11,9.5,2.55,1,1,9.1,63.6,7,1,22.2,11,50,2,5,,,,,71.9,54.1,72.6,,54.4,,,,0,0,11,0,126.7,0,0,0,0,0,1,2,18.2,109,9.9,80,15,17,11.9,2.46,2,2,11.8,58.8,10,0,16.7,17,77.3,2,8,,,,,74.2,65,74.1,,64.4,,,,0,1,17,,91.8,0,0,0,0,0,1,2,11.8,186,10.9,0,25,4,4,18.8,2.34,0,0,0,25,1,5,0,5,22.7,0,1,,,,,68,47.9,69.9,,48.8,,,,0,0,5,20,39.6,20,1,0,0,0,0,0,0,11,2.8
Blaine Gabbert,6162,QB,TB,2,19,42.9,7,7,8.9,2.19,0,0,0,42.9,3,2,0,8,42.1,0,2,,,,,70.9,40.3,71.9,,45.3,,55.3,,0,0,9,0,80.7,0,0,1,0,0,0,0,0,72,10.3,0,30,77.6,56.8,53.8,63.4,75,8,9,6.1,2.25,0,0,0,66.7,6,3,0,11,57.9,0,3,,,,,72.4,69.7,73.2,,63.8,,65.9,,1,0,13,33.3,130.1,9.1,1,1,0,0,2,0,0,71,7.9,57.1,14,14,7.5,1.85,0,0,0,57.1,8,0,0,14,73.7,0,5,,,,,73.5,58.7,73.7,,58.7,,,,0,0,15,,129.8,0,0,0,0,0,2,0,0,136,9.7,0,100,1,2,6,3.26,0,0,0,50,1,5,0,5,26.3,0,0,,,,,68.9,50.2,71.1,,45.8,,62.2,,1,0,7,20,58.3,20,1,2,0,0,0,0,0,7,3.5
Chris Streveler,46440,QB,ARZ,1,18,75,4,4,3.8,1.8,0,0,0,75,3,1,0,4,22.2,0,1,,,,,68,29.8,69.9,,32,,,,0,1,5,0,44.8,0,0,0,0,0,0,1,20,19,4.8,0,1,76.5,27.4,25.7,66.5,66.7,12,12,7.4,2.24,0,0,0,66.7,8,5,0,14,77.8,0,4,,,,,73.5,26.7,73.9,,27.5,,58.3,,0,0,16,40,115.3,14.3,2,0,0,0,1,2,12.5,86,7.2,75,12,12,2.5,1.85,0,0,0,75,9,0,0,12,66.7,0,5,,,,,73.2,24.7,73.5,,25.5,,58.3,,0,1,14,,86.1,0,0,0,0,0,1,2,14.3,82,6.8,0,50,4,4,18.5,2.72,0,0,0,50,2,6,0,6,33.3,0,0,,,,,68.9,38.6,71.1,,40.3,,,,0,0,7,33.3,67.7,33.3,2,0,0,0,0,1,14.3,23,5.8
Robert Griffin III,7008,QB,BLT,3,17,66.7,6,7,3.7,1.9,0,0,0,57.1,4,2,0,8,47.1,0,1,,,,,71.4,59.8,72.3,,61.7,,58.3,,1,0,10,50,64.6,12.5,1,0,0,0,0,0,0,25,3.6,0,3,78.4,52.9,36.3,75.2,57.1,7,7,9.3,2.24,0,0,0,57.1,4,6,0,9,52.9,0,0,,,,,71.4,26.8,72.3,,27.9,,,,0,2,10,33.3,22.6,22.2,2,0,0,0,0,1,10,17,2.4,77.8,9,9,2.6,1.69,0,0,0,77.8,7,0,0,9,52.9,0,1,,,,,70.9,67.9,71.9,,67.2,,,,0,0,9,,82.4,0,0,0,0,0,0,0,0,34,3.8,0,25,4,5,16,2.53,0,0,0,20,1,8,0,8,47.1,0,0,,,,,71.9,25.1,72.6,,26,,58.3,,1,2,11,37.5,0,37.5,3,0,0,0,0,1,9.1,8,1.6
Nate Sudfeld,10821,QB,PHI,1,15,60,5,5,11.8,2.67,0,0,0,60,3,4,0,7,46.7,0,1,,,,,69.6,38.9,71.1,,40.6,,,,0,1,7,50,30,28.6,2,0,0,0,0,1,14.3,21,4.2,0,24,73.5,32.8,39.7,46.9,50,4,7,7,3.46,0,0,0,28.6,2,5,0,8,53.3,0,1,,,,,70.3,54.2,71.5,,49.5,,63.1,,0,0,8,0,39.6,0,0,1,0,3,0,0,0,11,1.6,80,5,6,9,2.32,0,0,0,66.7,4,0,0,6,40,0,1,,,,,68.9,54.2,70.6,,54.6,,,,0,1,6,,36.8,0,0,0,0,1,0,1,16.7,27,4.5,0,25,4,6,10.5,3.61,0,0,0,16.7,1,9,0,9,60,0,1,,,,,70.9,39.9,71.9,,35.8,,63.1,,0,0,9,22.2,39.6,22.2,2,1,0,2,0,0,0,5,0.8
Jameis Winston,9434,QB,NO,2,14,60,5,5,6.6,1.9,0,0,0,60,3,1,0,5,35.7,0,2,,,,,68,34.6,69.9,,36.7,,,,0,0,5,0,77.1,0,0,0,0,0,0,1,20,30,6,0,20,76.3,38.2,39.5,56.6,66.7,6,6,4.7,3.07,0,0,0,66.7,4,5,0,9,64.3,0,3,,,,,71.4,47.4,72.3,,51.7,,55.9,,0,0,10,40,88.9,22.2,2,1,0,0,0,0,0,45,7.5,62.5,8,8,5.9,1.99,0,0,0,62.5,5,0,0,8,57.1,0,3,,,,,70.9,36.4,71.9,,38.2,,,,0,0,9,,81.3,0,0,0,0,0,0,1,11.1,52,6.5,1,66.7,3,3,4.7,3.53,0,0,0,66.7,2,6,0,6,42.9,0,2,,,,,68.9,48.6,70.6,,54,,55.9,,0,0,6,33.3,89.6,33.3,2,1,0,0,0,0,0,23,7.7
David Blough,46508,QB,DET,1,12,100,1,1,5,1.7,0,0,0,100,1,1,0,1,8.3,0,0,,,,,60.4,60.3,64.6,,60.1,,,,0,0,1,0,87.5,0,0,0,0,0,0,0,0,5,5,0,11,73.2,33.6,29.5,65.9,62.5,8,9,10.4,3.4,1,0,0,55.6,5,7,0,11,91.7,0,2,,,,,72.8,32,73.2,,29,,65.9,,0,1,13,14.3,29.2,9.1,1,1,0,0,0,2,15.4,44,4.9,66.7,3,3,14,3,0,0,0,66.7,2,0,0,4,33.3,0,1,,,,,68.9,56.6,70.6,,47.5,,65.9,,0,0,6,,72.9,0,0,1,0,0,0,0,0,11,3.7,0,66.7,6,7,7.7,3.39,1,0,0,57.1,4,8,0,8,66.7,0,1,,,,,70.3,28.2,71.5,,29.2,,,,0,1,8,12.5,32.7,12.5,1,0,0,0,0,2,25,38,5.4
Jacoby Brissett,10725,QB,IND,5,11,66.7,3,4,14,3.23,0,0,0,25,1,3,50,6,54.5,1,2,,,,,68.9,69.4,70.6,,64.9,,63.1,,0,0,6,33.3,40.6,16.7,1,1,0,1,0,0,0,13,3.3,0,14,78.1,75.6,52.5,88.2,25,4,4,5.5,3.54,0,0,0,25,1,2,0,5,45.5,0,0,,,,,68,42.4,69.9,,43.8,,,,0,0,5,50,39.6,20,1,0,0,0,0,0,0,4,1,40,5,5,11,2.93,0,0,0,20,1,0,50,6,54.5,1,1,,,,,68.9,50.9,70.6,,46.4,,63.1,,0,0,6,,39.6,0,0,1,0,0,0,0,0,4,0.8,2,50,2,3,4.5,3.9,0,0,0,33.3,1,5,0,5,45.5,0,1,,,,,68,64.9,69.9,,64.4,,,,0,0,5,40,47.9,40,2,0,0,1,0,0,0,13,4.3
Kendall Hinton,34045,QB,DEN,1,11,0,4,5,16.5,2.86,0,0,0,0,0,2,,5,45.5,0,0,,,,,68,27,69.9,,28.2,,,,0,1,5,0,0,0,0,0,0,1,0,2,40,0,0,0,10,72.6,24,24.3,61.3,25,4,4,15,4.18,0,0,0,25,1,3,0,6,54.5,0,1,,,,,68.9,26,70.6,,27.7,,55.7,,0,1,6,33.3,1,16.7,1,1,0,0,0,2,33.3,13,3.3,20,5,5,17,2.98,0,0,0,20,1,0,0,6,54.5,0,1,,,,,68.9,27,70.6,,28.8,,55.7,,0,1,6,,0,0,0,1,0,0,0,2,33.3,13,2.6,1,0,3,4,13.7,4.3,0,0,0,0,0,5,,5,45.5,0,0,,,,,68,25.8,69.9,,27,,,,0,1,5,20,0,20,1,0,0,1,0,2,40,0,0
