Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
3.8,Keith Kirkwood,NO,,,,,1.4,2.4,,,,,,,,,,0,0,0
156,Marquise Brown,ARZ,14.3,12.8,28,20.8,21.8,11.8,,,,,,10.6,,7.4,5.9,8.8,12.1,1.7
59.3,Kadarius Toney,KC,2.3,2,,,,,,,3.2,19,0,,,,1.5,7.8,11.1,12.4
154.8,Mack Hollins,LV,2.6,11.6,29.8,6.3,0,,12.4,13.4,3.7,4.6,11.2,16.3,8.5,8.2,14,1.7,7,3.5
59.6,A.J. Green,ARZ,3.3,4.6,0,,5,2.7,,0,0,9,10,1.5,,1.7,0,0,3.7,18.1
205.2,Jerry Jeudy,DEN,20.2,2.2,3.7,15.3,8.3,8.4,16.6,18.3,,0,,,10.5,33.3,14.6,17.7,10.8,25.3
36,Zach Pascal,PHI,1.7,3.4,4.8,0,0,0,,13.7,1.8,2,1.9,0,3.6,1.5,0,1.6,0,0
218.5,Michael Pittman Jr.,IND,27.1,,15.2,6.1,10.9,26.4,11.8,12.3,5.2,12.3,13.5,19.1,3.6,,19,7.9,16.1,12
32.1,Khalil Shakir,BUF,,0,,4.3,16.5,2.4,,0,0,1.6,0,0,2,0,0,1.5,,3.8
341.2,Tyreek Hill,MIA,18,42,5.3,25.9,13,29.7,14.2,31.5,27.3,15.4,,15,29.6,18.1,21.9,14.3,15.7,4.3
16.2,Brandon Johnson,DEN,,,,,,,,,,,1.2,9,0,0,6,,0,0
3.1,Miles Boykin,PIT,0,,,0,2.1,0,0,0,,0,0,,0,0,1,0,0,0
10.4,Jake Kumerow,BUF,0,7,3.4,,,,,0,0,0,,,,,,,,
79.2,Nelson Agholor,NE,5.8,23,6.1,7.6,0,,0,1.2,0,,3.8,18.5,3.7,8.2,1.3,0,0,0
31.4,Steven Sims,PIT,,,,,0,-0.5,,4,,2.7,-0.3,2.9,1.9,7.1,3.9,1.7,6.4,1.6
138.5,Richie James,NYG,11.1,10.1,8,1.9,3.6,3.8,1.2,0,,,13.8,15.1,5,19.1,8.2,17,20.6,
166,Keenan Allen,LAC,10.6,,,,,,3.1,,,,14.4,15.9,20.8,21.2,16.6,21.4,11.8,30.2
1.7,Maurice Alexander,DET,,,,0,0,,0,1.7,,,,,,,,,,
303.6,A.J. Brown,PHI,25.5,11.9,19.5,14.5,6.2,17.7,,39.6,15.9,1.7,11,14.6,31.9,17,27.1,16.3,19.7,13.5
4.5,Daylen Baldwin,CLV,,,,,,,,,,,,,,,4.5,,,
3,Keke Coutee,IND,,,,,,,,,0,3,,,,,,,,
199.1,DJ Moore,CAR,8,13.3,2.5,12.1,10.7,3.7,19.6,27.5,4.4,6.9,5.4,20.3,,0.6,18.3,20.1,23.7,2
15.7,Dax Milne,WAS,0,1.6,2.2,0,0,1.5,1.4,1.4,7.6,0,0,,,,,0,,0
0,Jared Bernhardt,ATL,,0,0,,,,,,,,,,,,,,,
0,Cornell Powell,KC,,,,,,,,,,,0,0,,,,,,
2.9,Danny Gray,SF,,0,0,,0,,0,0,,,0,0,0,2,0,0,0.9,0
116.9,Marvin Jones Jr.,JAX,7.8,6.3,13.3,0,17.4,,9.7,0,9.8,4.3,,11.2,2.7,3.2,9.7,4.5,12.1,4.9
2.6,DJ Turner,LV,,,,,,,2,0,,0,,0,0,0.6,,,,
149.1,Parris Campbell,IND,6.7,0,3,8.3,4.2,18.7,23,9.1,3.6,20.6,11.7,3.4,8.5,,3.3,3.9,8.3,12.8
21.6,David Sills V,NYG,0,6.7,4,1.5,3.2,1.8,2.9,1.5,,,,,0,,,,,
182.6,Drake London,ATL,12.4,22.6,14.4,3.7,7.5,7,1.9,7.1,5.3,14.8,7.2,4.9,15.5,,14,16.6,9.7,18
4,Lil'Jordan Humphrey,NE,0,2.1,0,1.9,0,,,,,,,,,,,,,
19.2,Samori Toure,GB,,,,,,,1.4,10.7,5.4,0,0,0,1.7,,0,0,0,0
