Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Chase Daniel,CHI,1,2,0,2.0%,1,2,0,3.0%,0,0,0,.0%,All Chase Daniel red zone rushing plays,DaniCh00
James Develin,NWE,1,1,0,1.3%,1,1,0,1.9%,1,1,0,3.8%,All James Develin red zone rushing plays,DeveJa00
Gerald Everett,LAR,1,0,0,1.2%,1,0,0,1.9%,0,0,0,.0%,All Gerald Everett red zone rushing plays,EverGe00
Ted Ginn,NOR,1,5,0,1.4%,0,0,0,.0%,0,0,0,.0%,All Ted Ginn red zone rushing plays,GinnTe00
Will Grier,CAR,1,0,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Will Grier red zone rushing plays,GrieWi00
Matt Haack,MIA,1,2,0,1.7%,1,2,0,3.0%,1,2,0,6.7%,All Matt Haack red zone rushing plays,HaacMa00
DeAndre Hopkins,HOU,1,6,0,1.6%,1,6,0,3.3%,0,0,0,.0%,All DeAndre Hopkins red zone rushing plays,HopkDe00
Brian Hoyer,IND,1,6,0,1.4%,1,6,0,2.6%,0,0,0,.0%,All Brian Hoyer red zone rushing plays,HoyeBr00
Andy Isabella,ARI,1,6,0,1.7%,0,0,0,.0%,0,0,0,.0%,All Andy Isabella red zone rushing plays,IsabAn00
Andy Janovich,DEN,1,1,1,1.7%,1,1,1,3.4%,1,1,1,7.1%,All Andy Janovich red zone rushing plays,JanoAn00
Alshon Jeffery,PHI,1,2,1,1.3%,1,2,1,2.5%,1,2,1,4.8%,All Alshon Jeffery red zone rushing plays,JeffAl00
Taiwan Jones,HOU,1,11,0,1.6%,0,0,0,.0%,0,0,0,.0%,All Taiwan Jones red zone rushing plays,JoneTa00
Kyle Juszczyk,SFO,1,-1,0,1.3%,1,-1,0,2.5%,1,-1,0,4.5%,All Kyle Juszczyk red zone rushing plays,JuszKy00
Travis Kelce,KAN,1,4,1,1.5%,1,4,1,2.9%,1,4,1,5.9%,All Travis Kelce red zone rushing plays,KelcTr00
Christian Kirk,ARI,1,6,0,1.7%,0,0,0,.0%,0,0,0,.0%,All Christian Kirk red zone rushing plays,KirkCh01
Zach Line,NOR,1,0,0,1.4%,1,0,0,2.8%,1,0,0,7.7%,All Zach Line red zone rushing plays,LineZa01
T.J. Logan,TAM,1,2,0,1.8%,1,2,0,2.8%,1,2,0,5.0%,All T.J. Logan red zone rushing plays,LogaT.00
Eli Manning,NYG,1,0,0,2.1%,1,0,0,3.3%,0,0,0,.0%,All Eli Manning red zone rushing plays,MannEl00
Sean Mannion,MIN,1,0,0,1.1%,0,0,0,.0%,0,0,0,.0%,All Sean Mannion red zone rushing plays,MannSe00
A.J. McCarron,HOU,1,1,1,1.6%,1,1,1,3.3%,1,1,1,5.3%,All A.J. McCarron red zone rushing plays,McCaA.00
Ty Montgomery,NYJ,1,0,0,3.1%,0,0,0,.0%,0,0,0,.0%,All Ty Montgomery red zone rushing plays,MontTy01
Chris Moore,BAL,1,0,0,1.0%,1,0,0,1.8%,1,0,0,3.6%,All Chris Moore red zone rushing plays,MoorCh00
Matt Moore,KAN,1,-1,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Matt Moore red zone rushing plays,MoorMa01
Quenton Nelson,IND,1,0,0,1.4%,1,0,0,2.6%,1,0,0,5.3%,All Quenton Nelson red zone rushing plays,NelsQu00
Senorise Perry,BUF,1,-1,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Senorise Perry red zone rushing plays,PerrSe00
Philip Rivers,LAC,1,1,0,1.7%,1,1,0,2.8%,0,0,0,.0%,All Philip Rivers red zone rushing plays,RivePh00
Andre Roberts,BUF,1,7,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Andre Roberts red zone rushing plays,RobeAn00
