player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Jamison Crowder,9538,WR,WAS,15,0,32,66.6,100,93,47.7,93,62,0,96.5,195,202,57.9,100,80,41,80
Bennie Fowler,8914,WR,DEN,16,0,10,56.9,100,88,45.4,88,47.2,0,100,194,194,60,100,87,44.8,87
Lance Kendricks,6199,TE,GB,16,0,12,52.1,100,89,46.1,89,55.5,1,100,193,193,65,100,88,45.6,88
Chris Hogan,6468,WR,NE,9,1,19,51.4,100,92,47.7,92,63.8,2,98,193,197,77.8,100,87,45.1,87
Tyler Shatley,9257,G,JAX,11,0,15,71.5,100,75,39.3,75,53.6,0,100,191,191,47.2,100,98,51.3,98
Jimmy Graham,5619,TE,SEA,16,0,29,72.5,100,43,22.5,43,63.4,0,100,191,191,56.4,100,130,68.1,130
Marcus Cannon,6290,T,NE,7,0,19,76.6,100,77,40.7,77,80.7,2,100,189,189,80.2,100,90,47.6,90
Jeremy Maclin,4942,WR,BLT,12,0,3,59.7,100,93,49.5,93,58.7,0,100,188,188,58.1,100,80,42.6,80
Maxx Williams,9488,TE,BLT,11,0,3,65.6,100,108,57.8,108,64.7,0,98.9,187,189,59.8,100,57,30.5,57
Patrick DiMarco,6997,FB,BUF,16,0,4,60.9,98.6,68,36.4,69,67.3,0,98.9,187,189,69.6,99,98,52.4,99
Ja'Wuan James,8654,T,MIA,8,0,17,40.5,100,50,26.9,50,63,0,100,186,186,74.3,100,127,68.3,127
Michael Crabtree,4933,WR,OAK,14,1,23,86.1,100,71,38.4,71,75.3,1,100,185,185,60.3,100,100,54.1,100
Jordan Matthews,8677,WR,BUF,10,0,4,57.3,100,49,27.1,49,56.9,1,100,181,181,60.1,100,115,63.5,115
Menelik Watson,7823,T,DEN,7,0,10,46.7,100,82,45.3,82,47.1,1,100,181,181,53.3,100,78,43.1,78
Laquon Treadwell,10657,WR,MIN,16,0,18,59.9,100,59,33.3,59,68.4,0,100,177,177,72.4,100,107,60.5,107
Michael Schofield III,8730,T,LAC,13,0,27,58.8,100,87,49.2,87,63.1,0,100,177,177,62.5,100,60,33.9,60
Deshaun Watson,11767,QB,HST,7,0,13,60,88.6,39,22,44,60,0,90.3,177,196,60,96.4,132,74.6,137
Albert Wilson,8943,WR,KC,13,0,16,71.1,97.3,73,41.2,75,75.4,0,98.3,177,180,60.9,100,99,55.9,99
Russell Shepard,8254,WR,CAR,15,0,5,70.2,100,100,56.5,100,58.7,1,98.9,177,179,68.9,100,46,26,46
James Hanna,7175,TE,DAL,16,0,9,68.9,100,87,49.4,87,65.2,1,100,176,176,59.2,100,82,46.6,82
Luke Willson,7940,TE,SEA,16,0,29,75,100,37,21,37,63.8,2,100,176,176,63,100,114,64.8,114
D.J. Fluker,7792,G,NYG,7,0,21,68.2,100,91,51.7,91,68.4,0,100,176,176,70.7,100,76,43.2,76
