Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Trestan Ebner,CHI,6,16,0,7.1%,4,7,0,9.3%,1,1,0,5.0%,All Trestan Ebner red zone rushing plays,EbneTr00
Jamycal Hasty,JAX,6,10,1,7.5%,4,7,1,8.3%,2,-2,0,8.7%,All Jamycal Hasty red zone rushing plays,HastJa02
Justin Herbert,LAC,6,23,0,8.2%,3,5,0,7.9%,1,2,0,6.7%,All Justin Herbert red zone rushing plays,HerbJu00
Baker Mayfield,CAR,6,24,1,8.2%,1,7,1,3.0%,0,0,0,.0%,All Baker Mayfield red zone rushing plays,MayfBa00
Davis Mills,HOU,6,34,2,10.2%,3,10,1,10.0%,1,4,1,7.7%,All Davis Mills red zone rushing plays,MillDa02
Dak Prescott,DAL,6,31,1,8.6%,2,11,1,4.8%,0,0,0,.0%,All Dak Prescott red zone rushing plays,PresDa01
Deshaun Watson,CLE,6,16,1,7.6%,1,1,0,2.6%,1,1,0,5.3%,All Deshaun Watson red zone rushing plays,WatsDe00
Raheem Blackshear,CAR,5,19,3,6.8%,4,17,3,12.1%,2,2,1,14.3%,All Raheem Blackshear red zone rushing plays,BlacRa00
Sam Darnold,CAR,5,19,2,6.8%,4,6,2,12.1%,3,7,2,21.4%,All Sam Darnold red zone rushing plays,DarnSa00
Chase Edmonds,MIA,5,4,2,9.8%,2,4,2,9.5%,2,4,2,16.7%,All Chase Edmonds red zone rushing plays,EdmoCh00
Jimmy Garoppolo,SFO,5,6,2,4.9%,4,3,2,6.7%,4,3,2,12.9%,All Jimmy Garoppolo red zone rushing plays,GaroJi00
Nyheim Hines,2TM,5,3,1,,5,3,1,,1,-2,0,,All Nyheim Hines red zone rushing plays,HineNy00
Mark Ingram,NOR,5,15,1,9.1%,3,7,1,11.5%,1,0,0,9.1%,All Mark Ingram red zone rushing plays,IngrMa01
Justin Jackson,DET,5,27,1,5.3%,2,5,0,3.3%,1,1,0,3.0%,All Justin Jackson red zone rushing plays,JackJu01
Kyle Juszczyk,SFO,5,22,1,4.9%,2,1,1,3.3%,2,1,1,6.5%,All Kyle Juszczyk red zone rushing plays,JuszKy00
Sony Michel,LAC,5,8,0,6.8%,2,0,0,5.3%,2,0,0,13.3%,All Sony Michel red zone rushing plays,MichSo00
Rashaad Penny,SEA,5,5,0,7.7%,1,1,0,4.8%,0,0,0,.0%,All Rashaad Penny red zone rushing plays,PennRa00
Desmond Ridder,ATL,5,8,0,4.5%,2,0,0,4.2%,2,0,0,11.1%,All Desmond Ridder red zone rushing plays,RiddDe00
Carson Wentz,WAS,5,23,1,6.4%,4,10,1,9.3%,2,3,1,11.8%,All Carson Wentz red zone rushing plays,WentCa00
Jonathan Williams,WAS,5,5,0,6.4%,1,-3,0,2.3%,1,-3,0,5.9%,All Jonathan Williams red zone rushing plays,WillJo07
Russell Wilson,DEN,5,36,3,13.2%,2,7,2,7.1%,2,7,2,13.3%,All Russell Wilson red zone rushing plays,WilsRu00
Gary Brightwell,NYG,4,5,1,5.4%,3,2,1,6.7%,1,2,1,4.2%,All Gary Brightwell red zone rushing plays,BrigGa00
Malcolm Brown,LAR,4,1,0,8.0%,3,-2,0,11.5%,2,0,0,14.3%,All Malcolm Brown red zone rushing plays,BrowMa03
Tevin Coleman,SFO,4,3,1,3.9%,2,3,1,3.3%,1,-2,0,3.2%,All Tevin Coleman red zone rushing plays,ColeTe01
Sam Ehlinger,IND,4,9,0,5.6%,2,4,0,6.3%,1,0,0,6.3%,All Sam Ehlinger red zone rushing plays,EhliSa00
Jared Goff,DET,4,-1,0,4.2%,2,-1,0,3.3%,0,0,0,.0%,All Jared Goff red zone rushing plays,GoffJa00
Taylor Heinicke,WAS,4,12,1,5.1%,3,8,1,7.0%,1,1,1,5.9%,All Taylor Heinicke red zone rushing plays,HeinTa00
Justice Hill,BAL,4,15,0,4.5%,1,3,0,2.5%,0,0,0,.0%,All Justice Hill red zone rushing plays,HillJu00
Trey Lance,SFO,4,19,0,3.9%,1,3,0,1.7%,0,0,0,.0%,All Trey Lance red zone rushing plays,LancTr00
Matt Ryan,IND,4,3,1,5.6%,3,2,1,9.4%,2,1,1,12.5%,All Matt Ryan red zone rushing plays,RyanMa00
Amon-Ra St. Brown,DET,4,12,0,4.2%,1,4,0,1.6%,0,0,0,.0%,All Amon-Ra St. Brown red zone rushing plays,StxxAm00
Tua Tagovailoa,MIA,4,8,0,7.8%,0,0,0,.0%,0,0,0,.0%,All Tua Tagovailoa red zone rushing plays,TagoTu00
Darrel Williams,ARI,4,8,1,5.9%,1,1,1,2.9%,1,1,1,6.3%,All Darrel Williams red zone rushing plays,WillDa10
Javonte Williams,DEN,4,8,0,10.5%,4,8,0,14.3%,1,0,0,6.7%,All Javonte Williams red zone rushing plays,WillJa10
Tutu Atwell,LAR,3,12,1,6.0%,0,0,0,.0%,0,0,0,.0%,All Tutu Atwell red zone rushing plays,AtweTu00
Brandon Bolden,LVR,3,7,0,5.8%,2,4,0,7.4%,1,3,0,8.3%,All Brandon Bolden red zone rushing plays,BoldBr00
