Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Solo,Int,Sk,College/Univ,,-9999
3,91,CLE,Anthony Schwartz,WR,21,2022,0,0,0,2,2,25,0,0,0,0,0,10,96,1,14,186,1,3,,,Auburn,College Stats,SchwAn00
3,92,TEN,Monty Rice,LB,22,2024,0,0,0,7,6,38,0,0,0,0,0,0,0,0,0,0,0,70,,,Georgia,College Stats,RiceMo00
3,93,BUF,Spencer Brown,OL,23,2024,0,0,3,32,32,59,0,0,0,0,0,0,0,0,0,0,0,1,,,Northern Iowa,,BrowSp00
3,94,BAL,Ben Cleveland,OL,23,2024,0,0,0,6,6,54,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,ClevBe00
3,95,TAM,Robert Hainsey,OL,23,2024,0,0,2,15,15,60,0,0,0,0,0,0,0,0,0,-3,0,,,,Notre Dame,College Stats,HainRo00
3,96,NWE,Ronnie Perkins,DE,21,2023,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,9,,,Oklahoma,College Stats,PerkRo00
3,97,LAC,Tre' McKitty,TE,22,2023,0,0,0,1,1,34,0,0,0,0,0,0,0,0,16,117,0,2,,,Georgia,College Stats,McKiTr00
3,98,DEN,Quinn Meinerz,C,22,2024,1,0,3,25,25,62,0,0,0,0,0,0,0,0,0,0,0,1,,,Wisconsin–Whitewater,,MeinQu02
3,99,DAL,Nahshon Wright,DB,22,2024,0,0,0,2,2,33,0,0,0,0,0,0,0,0,0,0,0,27,1,,Oregon St.,College Stats,WrigNa00
3,100,TEN,Elijah Molden,DB,22,2024,0,0,1,13,7,48,0,0,0,0,0,0,0,0,0,0,0,137,5,,Washington,College Stats,MoldEl00
3,101,DET,Ifeatu Melifonwu,DB,22,2024,0,0,0,6,6,37,0,0,0,0,0,0,0,0,0,0,0,53,2,4.5,Syracuse,College Stats,MeliIf00
3,102,SFO,Ambry Thomas,DB,21,2023,0,0,0,6,6,42,0,0,0,0,0,0,0,0,0,0,0,61,2,,Michigan,College Stats,ThomAm00
3,103,LAR,Ernest Jones,LB,21,2024,0,0,2,21,14,63,0,0,0,0,0,0,0,0,0,0,0,253,4,6.0,South Carolina,College Stats,JoneEr01
3,104,BAL,Brandon Stephens,CB,23,2024,0,0,3,16,16,65,0,0,0,0,0,0,0,0,0,0,0,196,2,2.0,SMU,College Stats,StepBr01
3,105,DEN,Baron Browning,LB,22,2024,0,0,1,16,15,51,0,0,0,0,0,0,0,0,0,0,0,77,1,11.5,Ohio St.,College Stats,BrowBa01
4,106,JAX,Jay Tufele,DL,22,2024,0,0,0,4,0,34,0,0,0,0,0,0,0,0,0,0,0,16,,0.5,USC,College Stats,TufeJa00
4,107,NYJ,Michael Carter,RB,22,2024,0,0,2,12,11,48,0,0,0,0,0,326,1359,8,112,771,1,1,,,North Carolina,College Stats,CartMi03
4,108,ATL,Darren Hall,CB,21,2024,0,0,1,4,4,35,0,0,0,0,0,0,0,0,0,0,0,51,,1.0,San Diego St.,College Stats,HallDa03
4,109,TEN,Dez Fitzpatrick,WR,23,2024,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,49,1,1,,,Louisville,College Stats,FitzDe00
4,110,CLE,James Hudson,OL,22,2024,0,0,0,8,8,49,0,0,0,0,0,0,0,0,0,0,0,,,,Cincinnati,College Stats,HudsJa00
4,111,CIN,Cameron Sample,DE,21,2023,0,0,0,5,5,47,0,0,0,0,0,0,0,0,0,0,0,44,,5.0,Tulane,College Stats,SampCa00
4,112,DET,Amon-Ra St. Brown,WR,21,2024,2,3,3,47,47,66,1,1,7,1,0,22,186,1,430,4851,33,1,,,USC,College Stats,StxxAm00
4,113,DET,Derrick Barnes,DE,22,2024,0,0,1,11,11,51,0,0,0,0,0,0,0,0,0,0,0,119,,4.0,Purdue,College Stats,BarnDe02
