Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
7.2,Malachi Corley,NYJ,0,1.4,,,,,,0,1.8,1.2,2,,0.8,,,,,
0,Trishton Jackson,MIN,,0,0,,,,,,,,,,,,,,,
28.2,Jamison Crowder,WAS,1.5,,0,,,,,,,,,,,,5.7,15.5,5.5,0
38.4,Josh Reynolds,JAX,9.5,13.3,5.6,0,7.9,,,,,,,,,,0,0,0,2.1
63.6,Van Jefferson,PIT,1.1,3.4,0,4.1,5.6,0,9.5,10.2,,0,0,5.9,5.3,8,1,4.7,0,4.8
34.8,Luke McCaffrey,WAS,4.8,0,7.4,2.7,4.9,1.5,0,1.8,0,3.3,0,1.8,3.3,,1,2.3,0,0
16.4,Xavier Gipson,NYJ,0,0,3.6,1.6,0,0,0,7.1,0,0,2.7,,0.9,0,0,,0,0.5
0,Kaden Davis,CLV,,,,,,,,,,,,,,,,,,0
0,Elijah Cooks,JAX,,,,,,,,,0,,,,0,,,,,
62.4,Brandon Aiyuk,SF,4.8,8.3,9.8,6.8,22.7,5.7,4.3,,,,,,,,,,,
174.7,Quentin Johnston,LAC,6.8,22.1,12.4,2.3,,5.2,,,22,10.4,12.8,0,3.2,15.8,15.5,4.8,9.8,31.6
36.8,Ryan Miller,TB,,,,,,4.9,,4.9,7.1,2.1,,2.4,0,0,1.1,9.7,4.6,0
84.5,Marquez Valdes-Scantling,NO,2.9,0,1.7,0,0,0,,,1.5,25.9,16.7,,11.6,9.1,8.8,,0,6.3
1.6,Jaelon Darden,SEA,,,,,,1.6,0,0,,,,,,,,,,
0,Joshua Cephus,JAX,,,,,,,,,,,,,,0,,,,
137.8,Chris Godwin,TB,22.3,24.7,17.3,12.9,11.6,35.5,13.5,,,,,,,,,,,
21.4,Rakim Jarrett,TB,,,,,,,,8.8,1.9,3,,4,0,0,0,1.6,2.1,0
210.5,Jauan Jennings,SF,11.4,5.7,46.5,11.8,2.3,5.7,,,,16.3,25.1,9,8.6,28,5.1,9.1,13.7,12.2
121.4,Stefon Diggs,HST,21.9,7.7,19.4,18.5,14.2,19.7,7.3,12.7,,,,,,,,,,
16.6,Simi Fehoko,LAC,0,0,2.7,0,,6.4,7.5,0,0,,,,,,,,,
121,Tyler Lockett,SEA,13.7,3.5,9.6,11.1,11.5,16.5,8.5,1.9,15.3,,3.9,4,4.6,0,3.2,3.9,5,4.8
7.1,Tim Jones,JAX,0,,0,0,0,0,0,3,2,0,0,,0,0,0,0,2.1,0
