Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,AVG
315,Baltimore Ravens,DST,8,DST20,,,,,,389.5
316,Steve Johnson,,,WR106,,,,,,264
317,Dexter McCluster,,,RB95,,,,,,294
318,Austin Hooper,NE,9,TE41,,,,,,323
319,Trent Richardson,,,RB96,,,,,,273
320,Maxx Williams,,,TE42,,,,,,332
321,Stevan Ridley,,,RB97,,,,,,298
322,Knile Davis,,,RB98,,,,,,298.5
323,Nate Washington,,,WR107,,,,,,299.5
324,Andre Williams,,,RB99,,,,,,278
325,Miami Dolphins,DST,8,DST21,,,,,,396
326,Josh Lambo,,,K21,,,,,,401
327,Marquess Wilson,,,WR108,,,,,,281
328,Colin Kaepernick,,,QB37,,,,,,342.5
329,Dwayne Washington,,,RB100,,,,,,283
330,Connor Barth,,,K22,,,,,,406.5
331,Leonte Carroo,,,WR109,,,,,,304.5
332,Mike Nugent,,,K23,,,,,,403
333,Case Keenum,CHI,9,QB38,,,,,,285
334,Tampa Bay Buccaneers,DST,6,DST22,,,,,,402
335,Kyle Juszczyk,SF,8,RB101,,,,,,304
336,Mike Tolbert,,,RB102,,,,,,304
337,Indianapolis Colts,DST,10,DST23,,,,,,411
338,Detroit Lions,DST,10,DST24,,,,,,402
339,Dallas Cowboys,DST,7,DST25,,,,,,412.5
340,David Cobb,,,RB103,,,,,,289
341,Dontrelle Inman,,,WR110,,,,,,305.5
342,Chicago Bears,DST,9,DST26,,,,,,407
343,San Francisco 49ers,DST,8,DST27,,,,,,410.5
344,Brian Quick,,,WR111,,,,,,291
345,Tennessee Titans,DST,13,DST28,,,,,,415.5
346,Los Angeles Chargers,DST,,DST29,,,,,,416.5
347,Atlanta Falcons,DST,11,DST30,,,,,,293
348,Cleveland Browns,DST,13,DST31,,,,,,294
349,Kelvin Taylor,,,RB104,,,,,,294
350,New Orleans Saints,DST,5,DST32,,,,,,295
351,Roddy White,,,WR112,,,,,,316
352,Harry Douglas,,,WR113,,,,,,329
353,T.J. Jones,,,WR114,,,,,,297
354,Jason Myers,SEA,5,K24,,,,,,414.5
355,Dustin Hopkins,CLE,13,K25,,,,,,415.5
356,Cecil Shorts,,,WR115,,,,,,330
357,Denard Robinson,,,RB105,,,,,,300
358,Dwayne Harris,,,WR116,,,,,,320.5
359,Jonathan Grimes,,,RB106,,,,,,322
360,Andrew Hawkins,,,WR117,,,,,,307
361,Brent Celek,,,TE43,,,,,,364
362,Cordarrelle Patterson,PIT,8,RB107,,,,,,308
363,Mark Sanchez,,,QB39,,,,,,358
364,Phil Dawson,,,K26,,,,,,418
365,Damien Williams,,,RB108,,,,,,310
366,Josh McCown,,,QB40,,,,,,372
367,Joique Bell,,,RB109,,,,,,311
368,Marques Colston,,,WR118,,,,,,312
369,Jacquizz Rodgers,,,RB110,,,,,,313
370,Chris Boyd,,,WR119,,,,,,339
371,Rashad Greene,,,WR120,,,,,,329.5
372,Orleans Darkwa,,,RB111,,,,,,316
373,Josh Huff,,,WR121,,,,,,342
374,Jordan Todman,,,RB112,,,,,,317
375,Nick Folk,,,K27,,,,,,426.5
376,Ryan Succop,,,K28,,,,,,319
377,Greg Zuerlein,,,K29,,,,,,424
378,Juwan Thompson,,,RB113,,,,,,321
379,Brian Hoyer,,,QB41,,,,,,367.5
380,Seyi Ajirotutu,,,WR122,,,,,,322
381,Mario Alford,,,WR123,,,,,,323
382,Mike Davis,,,RB114,,,,,,324
383,Miles Austin,,,WR124,,,,,,326
384,Adam Humphries,,,WR125,,,,,,327
385,Jason Avant,,,WR126,,,,,,328
386,Quincy Enunwa,,,WR127,,,,,,330
387,Matt Asiata,,,RB115,,,,,,331
388,Jeremy Kerley,,,WR128,,,,,,332
389,Ty Montgomery,II,,RB116,,,,,,333
390,Rex Burkhead,,,RB117,,,,,,334
391,Roy Helu,,,RB118,,,,,,335
392,Fozzy Whittaker,,,RB119,,,,,,336
393,Rashard Higgins,,,WR129,,,,,,338
394,Jalen Richard,,,RB120,,,,,,339
395,Albert Wilson,,,WR130,,,,,,340
396,Cody Latimer,,,WR131,,,,,,343
397,Marcel Reece,,,RB121,,,,,,346
398,Devin Smith,,,WR132,,,,,,347
399,Jarius Wright,,,WR133,,,,,,348
400,Corey Brown,,,WR134,,,,,,349
401,Jaron Brown,,,WR135,,,,,,350
402,Paul Richardson Jr.,,,WR136,,,,,,351
403,Tavarres King,,,WR137,,,,,,352
404,George Atkinson,III,,RB122,,,,,,353
405,Rod Streater,,,WR138,,,,,,354
406,Bishop Sankey,,,RB123,,,,,,355
407,Terrell Watson,,,RB124,,,,,,356
408,Fitzgerald Toussaint,,,RB125,,,,,,357
409,Brandon Bolden,,,RB126,,,,,,358
410,Shaun Hill,,,QB42,,,,,,360
411,Troymaine Pope,,,RB127,,,,,,363
412,Lorenzo Taliaferro,,,RB128,,,,,,364
413,Travaris Cadet,,,RB129,,,,,,366
414,Donald Brown,,,RB130,,,,,,367
415,Isaiah Pead,,,RB131,,,,,,369
416,Fred Jackson,,,RB132,,,,,,370
417,Dwayne Bowe,,,WR139,,,,,,372
418,Mike James,,,RB133,,,,,,373
419,Taiwan Jones,,,RB134,,,,,,374
420,Ryan Grant,,,WR140,,,,,,375
421,Adam Thielen,CAR,7,WR141,,,,,,377
422,Chris Polk,,,RB135,,,,,,378
423,Jamize Olawale,,,RB136,,,,,,379
424,Terron Ward,,,RB137,,,,,,380
425,Darius Jackson,,,RB138,,,,,,381
426,Chris Moore,WAS,9,WR142,,,,,,382
427,Stepfan Taylor,,,RB139,,,,,,383
428,Dan Herron,,,RB140,,,,,,384
429,Brice Butler,,,WR143,,,,,,385
430,Robbie Chosen,,,WR144,,,,,,386
431,Justin Hunter,,,WR145,,,,,,387
432,Marquise Goodwin,,,WR146,,,,,,390
433,Ricardo Louis,,,WR147,,,,,,392
434,John Crockett,,,RB141,,,,,,393
435,Jeff Heuerman,,,TE44,,,,,,394
436,Bennie Fowler,III,,WR148,,,,,,395
437,Roger Lewis,,,WR149,,,,,,397
438,Lance Kendricks,,,TE45,,,,,,398
439,Daniel Braverman,,,WR150,,,,,,399
440,Brian Hartline,,,WR151,,,,,,401
441,Josh Hill,,,TE46,,,,,,402
442,Geno Smith,LV,,QB43,,,,,,403
443,Bobby Rainey,,,RB142,,,,,,405
444,Vernon Davis,,,TE47,,,,,,406
445,Niles Paul,,,TE48,,,,,,409
446,Tyreek Hill,MIA,8,WR152,,,,,,410
447,Daryl Richardson,,,RB143,,,,,,411
448,Paul Turner,,,WR153,,,,,,412
449,Dennis Pitta,,,TE49,,,,,,413
450,Taylor Gabriel,,,WR154,,,,,,415
451,Patrick DiMarco,,,RB144,,,,,,416
452,Moritz Bohringer,,,WR155,,,,,,417
453,Garrett Celek,,,TE50,,,,,,418
454,Kenny Bell,,,WR156,,,,,,419
455,Jordan Norwood,,,WR157,,,,,,420
456,Nick Foles,,,QB44,,,,,,422
457,Kenneth Farrow,,,RB145,,,,,,423
458,Brandon Burks,,,RB146,,,,,,424
459,Jerricho Cotchery,,,WR158,,,,,,425
460,Andre Holmes,,,WR159,,,,,,426
461,Andre Roberts,,,WR160,,,,,,427
462,Dezmin Lewis,,,WR161,,,,,,428
463,Louis Murphy,,,WR162,,,,,,429
464,Charone Peake,,,WR163,,,,,,430
465,Leonard Hankerson,,,WR164,,,,,,431
466,Mychal Rivera,,,TE51,,,,,,432
467,Quan Bray,,,WR165,,,,,,433
468,Chase Daniel,,,QB45,,,,,,435
469,Corey Fuller,,,WR166,,,,,,436
470,Keshawn Martin,,,WR167,,,,,,437
471,Owen Daniels,,,TE52,,,,,,438
472,Jordan Payton,,,WR168,,,,,,439
473,Aaron Burbridge,,,WR169,,,,,,440
474,Demarcus Robinson,SF,8,WR170,,,,,,441
475,Devin Hester,,,WR171,,,,,,442
476,Matt Cassel,,,QB46,,,,,,443
477,Greg Salas,,,WR172,,,,,,444
478,Chris Givens,,,WR173,,,,,,445
479,Brett Hundley,,,QB47,,,,,,446
480,Ryan Mallett,,,QB48,,,,,,447
481,E.J. Manuel,,,QB49,,,,,,448
482,Luke Willson,,,TE53,,,,,,449
483,Aaron Dobson,,,WR174,,,,,,450
484,Ryan Griffin,,,TE54,,,,,,451
485,Kenbrell Thompkins,,,WR175,,,,,,452
486,Darren Fells,,,TE55,,,,,,453
487,Devon Cajuste,,,WR176,,,,,,454
488,Landry Jones,,,QB50,,,,,,455
489,Chad Henne,,,QB51,,,,,,457
490,Cody Kessler,,,QB52,,,,,,458
491,Sean Mannion,,,QB53,,,,,,459
492,AJ McCarron,,,QB54,,,,,,460
493,Derek Anderson,,,QB55,,,,,,461
494,Jermaine Gresham,,,TE56,,,,,,462
495,Colt McCoy,,,QB56,,,,,,463
496,Matt Schaub,,,QB57,,,,,,464
497,Matt Moore,,,QB58,,,,,,465
498,Mike Glennon,,,QB59,,,,,,466
499,Kellen Davis,,,TE57,,,,,,467
500,Christian Hackenberg,,,QB60,,,,,,468
501,Dan Orlovsky,,,QB61,,,,,,469
502,Tom Savage,,,QB62,,,,,,470
503,MyCole Pruitt,,,TE58,,,,,,471
504,Aaron Murray,,,QB63,,,,,,472
505,Scott Tolzien,,,QB64,,,,,,473
506,Stephen Anderson,,,TE59,,,,,,474
507,Brandon Weeden,,,QB65,,,,,,475
508,Austin Davis,,,QB66,,,,,,476
509,Drew Stanton,,,QB67,,,,,,477
510,Scott Chandler,,,TE60,,,,,,478
511,Zach Mettenberger,,,QB68,,,,,,479
512,Troy Niklas,,,TE61,,,,,,480
513,Ryan Nassib,,,QB69,,,,,,481
514,Garrett Graham,,,TE62,,,,,,482
515,Kellen Moore,,,QB70,,,,,,483
516,C.J. Fiedorowicz,,,TE63,,,,,,484
517,Garrett Grayson,,,QB71,,,,,,485
518,Jack Doyle,,,TE64,,,,,,486
519,Trevone Boykin,,,QB72,,,,,,487
520,Dion Sims,,,TE65,,,,,,488
521,Marcedes Lewis,,,TE66,,,,,,489
522,Cardale Jones,,,QB73,,,,,,490
523,Blake Bell,,,TE67,,,,,,491
524,Kellen Clemens,,,QB74,,,,,,492
525,Ed Dickson,,,TE68,,,,,,493
526,Luke McCown,,,QB75,,,,,,494
