player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Alonzo Russell,11114,WR,TOLEDO,13,13.1,6,52.6,,0,0,1,7.3,4,1,316,1,72.3,47.7,71.8,,72,0,0,3,59,0,0,399,3,51,95.5,381,17.5,70,93.4,97,8,82.5,329,766,277,5.4,15,2.01
Breshad Perriman,9459,WR,UCF,13,17.7,7,51.5,,0,0,0,13.8,8,1,323,0,45.9,74.2,71.8,,71.8,0,0,3,61,0,0,440,2,50,94.1,414,5.9,26,107.9,97,9,94.1,414,1044,253,5.1,20.9,2.52
Stefon Diggs,9579,WR,MARYLAND,10,7.3,13,64.9,,0,0,0,8.7,6,0,215,0,67.2,75.8,79.5,,79.3,0,0,2,77,0,0,365,2,63,97.3,355,81.6,298,99,97,5,17,62,796,524,8.3,12.6,2.24
Robert Davis,11964,WR,GA STATE,12,11.5,6,51.5,,0,0,0,9.1,5,0,175,0,65.3,74.1,62.6,,62.1,0,0,2,75,0,0,503,2,50,95,478,5,25,74.8,97,2,95,478,732,316,6.3,14.6,1.53
Ajalen Holley,47699,WR,LA MONROE,12,11.1,9,59.4,,0,0,1,10.9,7,0,209,0,54.5,74.7,60.7,,60.8,0.5,3,1,64,0,0,628,2,57,96.3,605,67.7,425,109,96,7,31.5,198,863,400,7,15.1,1.43
Demarcus Robinson,10760,WR,FLORIDA,12,14.7,9,55.2,,0,0,0,7,4,0,163,0,71.9,74.3,73.5,,72.6,0,0,5,73,0,0,338,1,53,96.4,326,8.3,28,85.9,96,7,91.7,310,810,313,5.9,15.3,2.48
Hunter Sharp,11078,WR,UTAH ST,14,9.6,14,65.6,,0,0,0,13.7,10,1,329,0,50.3,76.6,70.1,,68.3,1,4,3,81,0,0,386,3,63,95.1,367,29.5,114,107.2,96,7,68.7,265,903,513,8.1,14.3,2.46
Shavarez Smith,15951,WR,S ALABAMA,13,16.2,11,56.3,,0,0,0,12.9,8,0,288,1,53.2,48.1,72.2,,71,0,0,4,67,0,0,372,0,54,95.4,355,5.6,21,91.8,96,8,94.4,351,747,316,5.9,13.8,2.1
K.D. Cannon,12241,WR,BAYLOR,13,15.9,3,60.4,,0,0,0,7.9,5,1,118,1,70,58.3,74.2,,74.8,0,0,4,89,0,0,400,2,58,96,384,80.8,323,107.6,96,8,19.3,77,1030,363,6.3,17.8,2.68
Jared Dangerfield,11225,WR,W KENTUCKY,13,10.2,14,73.7,,0,0,0,9.1,7,1,346,1,65.5,53.7,77.3,,77.6,0,0,2,39,0,0,417,2,70,97.6,407,3.6,15,130,95,11,95.9,400,837,405,5.8,12,2.06
Casey Pierce,9756,TE,KENT STATE,11,7.8,3,63.8,,0,0,0,10.4,7,0,201,1,61.6,49.7,70.2,75.4,76,69.7,342,3,44,22.2,109,491,3,60,74.5,366,27.1,133,91,94,6,1.6,8,627,249,4.2,10.5,1.71
Isaiah Ford,11991,WR,VA TECH,13,14.4,2,59.6,,0,0,0,9.7,6,0,337,0,63.6,75.3,72.8,,74.3,0,0,3,33,0,0,502,3,56,94.4,474,8.2,41,91.1,94,6,91.8,461,709,124,2.2,12.7,1.5
Mike Williams,11762,WR,CLEMSON,13,16.2,11,61.3,,0,0,0,8.1,5,0,140,0,73.7,74.3,82.2,,80.9,0,0,3,56,0,0,431,0,57,97.2,419,1.6,7,107.4,93,6,98.4,424,1030,424,7.4,18.1,2.46
Chris Humphrey,14481,WR,KENT STATE,11,9.9,7,54.8,,0,0,0,15,9,0,201,1,47,55.2,62.5,,62.2,0.4,2,4,38,0,0,474,2,51,94.9,450,0,0,76.2,93,5,99.6,472,635,272,5.3,12.5,1.41
Allen Lazard,48135,WR,IOWA STATE,12,11.2,2,48.9,,0,0,0,10,5,0,193,1,62.4,73.4,61.5,,60,0.2,1,2,48,0,0,516,1,45,95.7,494,1.9,10,71.4,92,3,97.9,505,591,238,5.3,13.1,1.2
Deon Long,10102,WR,MARYLAND,13,10.7,6,55.4,,0,0,0,7.3,4,1,215,0,71.4,74.2,63.1,,62.9,0,0,4,50,0,0,428,4,51,97,415,2.6,11,63.5,92,2,97.4,417,575,248,4.9,11.3,1.39
Cam Worthy,9868,WR,E CAROLINA,11,16.9,2,59.8,,0,0,1,3.5,2,0,156,0,84.1,74.3,76,,77.1,0,0,2,53,0,0,515,2,55,95.1,490,22.9,118,103.4,92,4,77.1,397,1016,216,3.9,18.5,2.07
Artavis Scott,12044,WR,CLEMSON,13,3.8,16,82.6,,0,0,1,2.6,2,0,140,0,84.6,76.8,78.6,,80.6,0.3,1,1,70,0,0,323,1,76,96.3,311,17.3,56,134.8,92,8,80.5,260,965,942,12.4,12.7,3.1
Keyarris Garrett,11008,WR,TULSA,10,16.1,2,51.6,,0,0,0,16.1,9,1,320,0,42.9,73.6,69,,69.9,0,0,3,39,0,0,409,3,47,94.4,386,1.5,6,81.7,91,5,98.5,403,698,163,3.5,14.9,1.81
Corey Coleman,10649,WR,BAYLOR,10,12.7,16,70.3,,0,0,1,9.9,7,1,118,0,58,77.2,81.3,,83.8,0,0,1,72,0,0,324,3,64,96.3,312,39.2,127,146.9,91,11,58.6,190,1119,421,6.6,17.5,3.59
Ronnie Moore,47704,WR,BOWL GREEN,14,7.6,14,65.6,,0,0,0,9.2,6,0,122,1,64.8,57.8,69.5,70.3,68,0,0,1,42,0.3,1,385,1,59,94.8,365,96.1,370,107.3,90,6,3.4,13,713,458,7.8,12.1,1.95
Jaxon Shipley,9806,WR,TEXAS,12,9.2,1,66.7,,0,0,0,3.2,2,2,311,2,85,28.6,64,,63.9,0.5,2,2,48,0,0,384,1,60,95.8,368,72.1,277,80.1,90,1,27.3,105,605,214,3.6,10.1,1.64
D.J. Foster,11214,HB,ARIZONA ST,13,5.2,13,68.9,,0,0,0,4.6,3,0,110,0,80.4,69.7,70.3,87.8,75.2,0.2,1,3,42,13,55,423,1,62,82.3,348,36.6,155,88.6,90,3,6.1,26,688,516,8.3,11.1,1.98
Kenny Bell,9595,WR,NEBRASKA,13,15.6,9,52.2,,0,0,0,9.6,5,0,238,0,63.8,73.6,85.4,60.9,81.8,0.4,1,5,73,0.4,1,274,1,47,96,263,18.2,50,81.3,90,6,81,222,792,303,6.4,16.9,3.01
Jerico Richardson,47944,WR,NEVADA,13,10.9,4,61.8,,0,0,1,14.1,9,0,239,1,44.2,48.5,65,,64.2,0,0,2,30,0,0,401,3,55,96.5,387,1.2,5,84.9,89,3,98.8,396,629,145,2.6,11.4,1.63
KeVonn Mabon,12295,WR,BALL ST,12,9.2,15,66.3,,0,0,0,7.8,5,1,117,1,70.1,52.3,71.7,,73.2,0,0,1,62,0,0,364,3,59,96.4,351,4.7,17,104.9,89,5,95.1,346,717,351,5.9,12.2,2.04
Donovan Harden,16201,WR,GA STATE,12,10.8,11,67.4,,0,0,0,11.8,8,2,175,1,55.3,51.6,69.6,,72.1,0,0,4,68,0,0,455,2,60,94.7,431,63.7,290,107,89,7,34.3,156,881,483,8.1,14.7,2.04
Jalen Fitzpatrick,38874,WR,TEMPLE,12,11.5,4,60.9,,0,0,0,10.2,6,0,306,2,62.3,30.8,69.3,,68.6,0,0,3,75,0,0,358,1,53,95.8,343,29.1,104,96.8,87,6,70.9,254,737,306,5.8,13.9,2.15
