,,Inside 20,,,,,,Inside 10,,,,,,
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link
Kenny Stills,MIA,5,1,20.00%,10,1,7.40%,2,1,50.00%,10,1,4.70%,All Kenny Stills red zone receiving plays
Jacob Tamme,ATL,5,2,40.00%,17,1,6.90%,2,1,50.00%,7,1,5.60%,All Jacob Tamme red zone receiving plays
Griff Whalen,IND,5,4,80.00%,36,1,6.90%,0,0,,0,0,0.00%,All Griff Whalen red zone receiving plays
DeAngelo Williams,PIT,5,2,40.00%,8,0,6.50%,3,1,33.33%,6,0,7.30%,All DeAngelo Williams red zone receiving plays
Marquess Wilson,CHI,5,1,20.00%,9,0,6.90%,1,0,0.00%,0,0,2.60%,All Marquess Wilson red zone receiving plays
Kendall Wright,TEN,5,3,60.00%,31,2,9.10%,4,2,50.00%,12,1,12.90%,All Kendall Wright red zone receiving plays
Dwayne Allen,IND,4,2,50.00%,15,1,5.60%,2,1,50.00%,6,1,6.10%,All Dwayne Allen red zone receiving plays
Blake Bell,SFO,4,1,25.00%,5,0,6.20%,1,0,0.00%,0,0,3.80%,All Blake Bell red zone receiving plays
Josh Bellamy,CHI,4,1,25.00%,5,0,5.60%,3,0,0.00%,0,0,7.90%,All Josh Bellamy red zone receiving plays
Le'Veon Bell,PIT,4,3,75.00%,15,0,5.20%,1,0,0.00%,0,0,2.40%,All Le'Veon Bell red zone receiving plays
Brice Butler,DAL,4,0,0.00%,0,0,5.60%,3,0,0.00%,0,0,7.90%,All Brice Butler red zone receiving plays
Derek Carrier,WAS,4,4,100.00%,24,1,5.10%,2,2,100.00%,12,1,4.90%,All Derek Carrier red zone receiving plays
Jamaal Charles,KAN,4,4,100.00%,1,1,6.90%,4,4,100.00%,1,1,21.10%,All Jamaal Charles red zone receiving plays
Brandon Coleman,NOR,4,2,50.00%,18,1,5.70%,2,0,0.00%,0,0,6.70%,All Brandon Coleman red zone receiving plays
