,Player,Tm,Season,Age,PosRank,PPR/G_prev,PPR/G_prev2,prev_team,avg_depth_of_target,caught_percent,grades_offense,grades_pass_route,route_rate,slot_rate,wide_rate,inline_rate,yprr,man_grades_pass_route,zone_grades_pass_route,grades_pass,team_name_copy,pbe,Improvement,PPR/G,Pass Plays/G,Receptions/G,Routes/G,Targets/G,TD/G,YDS/G,YAC/G,RZ Targets/G,P_Att/G,P_Cmp/G,P_TD/G,P_Yds/G
315,Torrey Smith,SF,2016-17,27,98,7.83125,11.98125,SF,14.7,58.9,62.8,63.0,95.5,9.0,91.0,0.0,1.3,68.2,61.5,61.7,SF,82.5,-0.34637454355764213,5.391666666666667,33.3125,2.0625,31.8125,3.5,0.25,41.4375,14.125,0.375,32.875,20.125,1.0,207.25
319,Quinton Patton,SF,2016-17,26,102,4.74375,1.85,SF,8.3,56.6,65.7,66.7,96.9,20.3,79.4,0.3,1.27,64.7,67.4,61.7,SF,82.5,1.5641891891891893,5.557142857142857,20.0,1.875,19.375,3.3125,0.0625,24.625,13.375,0.25,32.875,20.125,1.0,207.25
321,Kamar Aiken,BAL,2016-17,27,104,12.3375,4.29375,BAL,12.5,62.0,78.5,77.8,94.5,20.8,78.4,0.8,1.61,81.0,71.3,64.3,BAL,85.1,1.873362445414847,4.2375,38.8125,4.6875,36.6875,7.5625,0.3125,59.0,13.375,0.5,42.25,26.625,1.3125,266.9375
324,Darrius Heyward-Bey,PIT,2016-17,29,107,4.025,0.26875,PIT,18.2,56.8,60.6,60.5,92.8,33.7,65.9,0.4,1.28,63.5,60.0,90.4,PIT,84.1,13.976744186046513,4.14,16.5,1.3125,15.3125,2.3125,0.125,19.625,5.25,0.125,36.875,24.4375,1.625,287.6875
326,Andre Roberts,DET,2016-17,28,110,3.388888888888889,5.7125,WAS,13.1,50.0,51.3,50.7,90.4,38.6,60.8,0.6,0.9,48.8,55.0,64.7,DET,83.5,-0.4067590566496475,3.05,18.444444444444443,1.2222222222222223,16.666666666666668,2.4444444444444446,0.0,15.0,4.555555555555555,0.4444444444444444,39.5,26.25,2.0625,263.25
328,Bryan Walters,JAX,2016-17,29,111,6.8,0.8846153846153846,JAX,8.4,82.1,75.2,74.9,95.0,72.5,27.5,0.0,1.5,59.5,82.8,62.8,JAX,83.4,6.686956521739131,5.75,23.454545454545453,2.909090909090909,22.272727272727273,3.5454545454545454,0.09090909090909091,33.45454545454545,10.909090909090908,0.8181818181818182,37.9375,22.1875,2.1875,256.75
330,Corey Brown,CAR,2016-17,25,113,7.392857142857143,5.8538461538461535,CAR,15.5,66.0,67.2,65.9,95.5,33.3,65.6,0.0,1.01,57.1,73.6,84.1,CAR,85.5,0.26290595081659485,3.7,33.214285714285715,2.2142857142857144,31.714285714285715,3.357142857142857,0.2857142857142857,31.928571428571427,6.285714285714286,0.42857142857142855,31.3125,18.75,2.1875,224.3125
331,Eric Decker,NYJ,2016-17,29,114,16.846666666666668,13.346666666666666,NYJ,12.4,63.5,78.0,79.7,96.4,68.4,30.3,1.4,1.81,77.9,76.5,60.8,NYJ,83.9,0.2622377622377624,13.466666666666667,39.2,5.333333333333333,37.8,8.4,0.8,68.46666666666667,14.8,1.8666666666666667,37.75,22.625,2.0625,253.5625
332,Andre Holmes,LV,2016-17,28,117,3.63125,8.76875,LV,16.5,48.3,57.8,57.0,96.6,49.5,48.6,1.9,1.0,55.4,57.3,77.3,LV,88.2,-0.5858873841767641,2.7875,13.0,0.875,12.5625,1.8125,0.25,12.5625,3.25,0.25,37.8125,23.3125,2.125,242.4375
333,Rod Streater,SF,2016-17,28,115,1.8,7.8,LV,7.0,100.0,68.0,66.5,87.5,12.5,87.5,0.0,1.14,58.0,68.8,61.7,SF,82.5,-0.7692307692307693,3.06875,8.0,1.0,7.0,1.0,0.0,8.0,1.0,1.0,32.875,20.125,1.0,207.25
